"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"facility";"C";"VGS UGS Etzel (EDF)";"1.1577";"57.9";"0";"0";"0";"0";"0";"1.9994";"54";"94.5";"1.9994";"0";"0"
"company";"C";"EnBW Etzel Speicher";"1.6801";"79.09";"0";"0";"0";"0";"0";"2.1243";"54";"94.5";"0";"0";"0"
"facility";"C";"VGS UGS Etzel (EnBW)";"1.6801";"79.09";"0";"0";"0";"0";"0";"2.1243";"54";"94.5";"0";"0";"0"
"company";"C";"Eneco Gasspeicher";"1.261";"87.86";"-0.1";"0";"0";"2.7";"4.1";"1.4352";"46.8";"93.6";"0";"0";"0"
"facility";"C";"UGS Enschede - Epe (Eneco)";"1.261";"87.86";"-0.1";"0";"0";"2.7";"4.1";"1.4352";"46.8";"93.6";"0";"0";"0"
"company";"C";"enercity";"1.9275";"85.7";"0";"0";"0";"0";"0";"2.249";"19.7";"73.92";"2.249";"0";"0"
"facility";"C";"UGS Ronnenberg-Empelde";"1.9275";"85.7";"0";"0";"0";"0";"0";"2.249";"19.7";"73.92";"2.249";"0";"0"
"company";"C";"Enovos Storage";"0.8396";"86.77";"-0.56";"0";"0";"0";"5.4";"0.9677";"6.45";"16.13";"1.1007";"0";"0"
"facility";"C";"UGS Frankenthal";"0.8396";"86.77";"-0.56";"0";"0";"0";"5.4";"0.9677";"6.45";"16.13";"1.1007";"0";"0"
"company";"E";"Equinor Storage Deutschland";"2.1154";"94.46";"0";"0";"0";"0";"0";"2.2395";"210.67";"361.15";"2.2395";"0";"0"
"facility";"E";"UGS Etzel EGL (Equinor Storage Deutschland)";"2.1154";"94.46";"0";"0";"0";"0";"0";"2.2395";"210.67";"361.15";"2.2395";"0";"0"
"company";"C";"Erdgasspeicher Peissen";"4.4424";"73.27";"-1.83";"0";"0";"0";"110.6";"6.0634";"134.58";"269.16";"0";"0";"0"
"facility";"C";"UGS Katharina";"4.4424";"73.27";"-1.83";"0";"0";"0";"110.6";"6.0634";"134.58";"269.16";"0";"0";"0"
"company";"C";"EKB ****";"10.4156";"96.31";"0";"0";"0";"0";"0";"10.8141";"0";"0";"10.8141";"0";"0"
"facility";"C";"UGS Etzel EKB";"10.4156";"96.31";"0";"0";"0";"0";"0";"10.8141";"0";"0";"10.8141";"0";"0"
"company";"C";"EWE Gasspeicher";"14.1363";"78.63";"-0.26";"0";"0";"0";"0";"17.9776";"241.34";"504.48";"17.9776";"0";"0"
"facility";"C";"EWE H-Gas Zone";"2.5533";"78.27";"-0.1";"0";"0";"0";"0";"3.2619";"41.4";"82.8";"3.2619";"0";"0"
"facility";"C";"UGS EWE-Zone L";"3.5185";"58.56";"-0.77";"0";"0";"0";"0";"6.0088";"68.21";"188.16";"6.0088";"0";"0"
"facility";"C";"UGS Jemgum H (EWE)";"2.9155";"85.7";"0.12";"0";"0";"0";"0";"3.4019";"55.2";"69";"3.4019";"0";"0"
"facility";"N";"UGS Nüttermoor H aggregated data prior to 7 April 2016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Nüttermoor H-2";"1.5645";"87.53";"-0.08";"0";"0";"0";"0";"1.7875";"24.84";"49.68";"1.7875";"0";"0"
"facility";"C";"UGS Nüttermoor H-3";"2.6856";"106.64";"0";"0";"0";"0";"0";"2.5184";"41.04";"82.08";"2.5184";"0";"0"
"facility";"N";"UGS Nüttermoor L GUD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Rüdersdorf H";"0.8989";"89.98";"0";"0";"0";"0";"0";"0.999";"10.66";"32.76";"0.999";"0";"0"
"company";"C";"HanseWerk";"1.7016";"67.28";"0";"0";"0";"0";"0";"2.529";"48.38";"80.64";"2.529";"0";"0"
"facility";"C";"UGS Kraak";"1.7016";"67.28";"0";"0";"0";"0";"0";"2.529";"48.38";"80.64";"2.529";"0";"0"
"company";"C";"KGE";"1.6023";"77.73";"0.15";"0";"0";"6.12";"3.1";"2.0613";"41.04";"109.44";"0";"0";"0"
"facility";"C";"UGS Epe (KGE)";"1.6023";"77.73";"0.15";"0";"0";"6.12";"3.1";"2.0613";"41.04";"109.44";"0";"0";"0"
"company";"C";"MET Speicher";"2.1461";"69.21";"0";"0";"0";"0";"0";"3.101";"80.59";"97.37";"3.101";"0";"0"
"facility";"C";"UGS Etzel ESE (MET)";"0.9893";"66.35";"0";"0";"0";"0";"0";"1.491";"55.3";"46.78";"1.491";"0";"0"
"facility";"C";"UGS Reckrod";"1.1568";"71.85";"0";"0";"0";"0";"0";"1.61";"25.3";"50.59";"1.61";"0";"0"
"company";"C";"MND Energy Storage Germany";"1.5757";"67.77";"0.76";"0";"0";"17.53";"0";"2.325";"32.74";"55.44";"0";"0";"0"
"facility";"N";"UGS Haehnlein (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stockstadt (historical data prior to 01/04/2016)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Zone MND ESG (UGS Stockstadt + UGS Haehnlein)";"1.5757";"67.77";"0.76";"0";"0";"17.53";"0";"2.325";"32.74";"55.44";"0";"0";"0"
"company";"N";"N-ERGIE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"NAFTA Speicher Inzenham";"2.6917";"54.66";"-0.16";"0";"0";"17.45";"33.1";"4.924";"45.79";"66.49";"4.9236";"0.0004";"0"
"facility";"C";"UGS Inzenham-West";"2.6917";"54.66";"-0.16";"0";"0";"17.45";"33.1";"4.924";"45.79";"66.49";"4.9236";"0.0004";"0"
"company";"C";"NUON Epe Gasspeicher";"2.473";"89.36";"-0.07";"0";"0";"0";"0";"2.7674";"84.97";"141.61";"2.7674";"0";"0"
"facility";"C";"UGS Enschede - Epe (Nuon)";"2.473";"89.36";"-0.07";"0";"0";"0";"0";"2.7674";"84.97";"141.61";"2.7674";"0";"0"
"company";"C";"OMV Gas Storage Germany";"3.8783";"78.59";"-0.18";"0";"0";"0";"9.1";"4.935";"71.76";"118.56";"5.245";"0";"0"
"facility";"C";"UGS Etzel ESE (OMV)";"3.8783";"78.59";"-0.18";"0";"0";"0";"9.1";"4.935";"71.76";"118.56";"5.245";"0";"0"
"company";"C";"RWE Gas Storage West";"12.4853";"71.77";"-0.04";"0";"0";"3.7";"10.2";"17.3973";"287.38";"725.83";"0";"0";"0"
"facility";"C";"INNEXPOOL-RWEGSW";"5.104";"80.47";"-0.03";"0";"0";"0";"1.7";"6.3424";"105.08";"329.07";"0";"0";"0"
"facility";"N";"UGS Epe-H-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Epe-L-RWEGSW";"1.5941";"74.43";"-0.06";"0";"0";"0";"1.3";"2.1418";"49.24";"98.48";"0";"0";"0"
"facility";"C";"UGS Epe-NL-RWEGSWEST";"0.9147";"48.5";"0.2";"0";"0";"3.7";"0";"1.8858";"47.84";"119.6";"0";"0";"0"
"facility";"N";"UGS Hoogstede-Kalle (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS STASSFURT-RWEGSWEST";"4.8725";"69.34";"-0.1";"0";"0";"0";"7.3";"7.0274";"85.22";"178.68";"0";"0";"0"
"facility";"N";"UGS Xanten-RWEGSWEST (historical data prior to 1 April 2017)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Storengy Deutschland";"13.5997";"72.85";"-0.03";"0";"0";"5.09";"10.4";"18.668";"234.94";"528.13";"18.668";"0";"0"
"facility";"C";"UGS Fronhofen";"0.1063";"99.37";"0";"0";"0";"0";"0";"0.107";"5.35";"8.03";"0.107";"0";"0"
"facility";"C";"UGS Harsefeld";"0.8389";"66.48";"0.17";"0";"0";"2.13";"0";"1.262";"24.67";"81.72";"1.262";"0";"0"
"facility";"C";"UGS Lesum";"1.3851";"78.61";"0";"0";"0";"0";"0";"1.762";"28.48";"58.5";"1.762";"0";"0"
"facility";"C";"UGS Peckensen";"2.9561";"75.82";"0.05";"0";"0";"2.8";"1";"3.899";"84.67";"231.96";"3.899";"0";"0"
"facility";"C";"UGS Schmidhausen";"1.1836";"68.02";"0.01";"0";"0";"0.16";"0";"1.74";"10.75";"40.32";"1.74";"0";"0"
"facility";"C";"UGS Uelsen";"7.1297";"72.03";"-0.09";"0";"0";"0";"9.4";"9.898";"81.03";"107.6";"9.898";"0";"0"
"company";"E";"SWKiel Speicher";"0.6321";"99.82";"0";"0";"0";"0";"0";"0.6333";"11.52";"27.12";"0.6333";"0";"0"
"facility";"N";"UGS Kiel Rönne (historical data Hansewerk prior to 01/04/2020)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"E";"UGS Kiel-Rönne";"0.6321";"99.82";"0";"0";"0";"0";"0";"0.6333";"11.52";"27.12";"0.6333";"0";"0"
"company";"E";"TEP";"0.5652";"62.09";"0.07";"0";"0";"22.53";"21.9";"0.9102";"10.8";"13.32";"0";"0";"0"
"facility";"E";"TEP Storage Hub (Allmenhausen, Kirchheiligen)";"0.5652";"62.09";"0.07";"0";"0";"22.53";"21.9";"0.9102";"10.8";"13.32";"0";"0";"0"
"facility";"N";"UGS Allmenhausen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Trianel Gasspeicher Epe";"1.8743";"88.4";"-0.23";"0";"0";"6.98";"11.8";"2.1203";"82.66";"165.31";"2.3303";"-0.21";"0"
"facility";"C";"UGS Epe Trianel";"1.8743";"88.4";"-0.23";"0";"0";"6.98";"11.8";"2.1203";"82.66";"165.31";"2.3303";"-0.21";"0"
"company";"C";"Uniper Energy Storage";"53.0464";"86.22";"-0.08";"0";"0";"36.42";"87.1";"61.5226";"1295.88";"1766.64";"61.5215";"0.573";"0"
"facility";"C";"UGS Bierwang";"9.402";"98.78";"0";"0";"0";"0";"0";"9.518";"274.8";"357.24";"9.518";"0";"0"
"facility";"C";"UGS Breitbrunn";"10.4819";"91.48";"0.08";"0";"0";"9.41";"0";"11.4576";"69.3";"144.14";"11.46";"0";"0"
"facility";"C";"UGS Epe Uniper H-Gas";"14.2094";"87.53";"0";"0";"0";"0.01";"0";"16.2342";"328.32";"465.12";"16.2342";"0";"0"
"facility";"C";"UGS Epe Uniper L-Gas";"1.4594";"83.16";"-0.68";"0";"0";"0";"12";"1.755";"28.8";"120";"1.755";"0";"0"
"facility";"N";"UGS Eschenfelden (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Etzel Erdgas Lager EGL";"8.986";"83.2";"-0.7";"0";"0";"0";"75.1";"10.8009";"158.41";"276.45";"10.8003";"0.57";"0"
"facility";"C";"UGS Etzel ESE (Uniper Energy Storage)";"8.5077";"72.36";"0.23";"0";"0";"27";"0";"11.757";"436.25";"403.68";"11.754";"0.003";"0"
"facility";"N";"UGS Krummhorn (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"VNG Gasspeicher GmbH";"21.1108";"81.81";"-0.03";"0";"0";"0";"6.6";"25.8034";"399.38";"590.44";"0";"0";"0"
"facility";"C";"UGS Etzel ESE (VGS)";"1.1819";"80.24";"-0.1";"0";"0";"0";"1.6";"1.4729";"29.23";"46.98";"0";"0";"0"
"facility";"C";"UGS Jemgum H (VGS)";"1.4963";"84.33";"0";"0";"0";"0";"0";"1.7744";"27.47";"42.22";"0";"0";"0"
"facility";"N";"UGS Kirchheiligen (historical data prior to 31 March 2018)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"VGS Storage Hub (Bernburg, Bad Lauchstädt)";"18.4326";"81.72";"-0.02";"0";"0";"0";"5";"22.5561";"342.68";"501.24";"0";"0";"0"
"facility";"N";"VGS VTP Storage GPL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"E";"Hungary";"54.5503";"77.85";"0";"105.56";"51.68";"0";"0.5";"70.0691";"455.22";"798.9";"0";"0";"100"
"company";"E";"HEXUM";"19.8034";"98.46";"0";"0";"0";"0";"0.3";"20.1129";"134.06";"263.9";"0";"0";"0"
"facility";"E";"UGS Szöreg-1";"19.8034";"98.46";"0";"0";"0";"0";"0.3";"20.1129";"134.06";"263.9";"0";"0";"0"
"company";"C";"HGS";"34.7469";"69.55";"0";"0";"0";"0";"0.2";"49.9562";"321.16";"535";"0";"0";"0"
"facility";"C";"VGS MFGT (Pusztaederics, Zsana-Nord, Kardoskút-Pusztaszolos, Hajdúszoboszló)";"34.7469";"69.55";"0";"0";"0";"0";"0.2";"49.9562";"321.16";"535";"0";"0";"0"
"country";"N";"Ireland";"0";"0";"0";"59.8";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Kinsale Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Kinsale Southwest (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"E";"Italy";"133.0181";"67.53";"-0.61";"750.6";"17.72";"0";"1202.3";"196.9627";"1699.23";"2916.1";"0";"0";"100"
"company";"E";"Edison Stoccaggio";"5.2454";"47.66";"-0.86";"0";"0";"0";"95.2";"11.0062";"79";"95.53";"0";"0";"0"
"facility";"E";"VGS Edison Stoccaggio (Collalto, Cellino, San Potito & Cotignola)";"5.2454";"47.66";"-0.86";"0";"0";"0";"95.2";"11.0062";"79";"95.53";"0";"0";"0"
"company";"C";"IGS";"0.977";"37.69";"-2.07";"0";"0";"0";"53.6";"2.592";"18.6";"37.5";"0";"0";"0"
"facility";"C";"UGS Cornegliano";"0.977";"37.69";"-2.07";"0";"0";"0";"53.6";"2.592";"18.6";"37.5";"0";"0";"0"
"company";"E";"Stogit";"126.7958";"69.15";"-0.57";"0";"0";"0";"1053.6";"183.3645";"1601.63";"2783.07";"192.1773";"-12.2241";"0"
"facility";"E";"VGS STOGIT (Fiume Treste, Bordolano, Sabbioncello, Minerbio, Sergnano, Ripalta, Cortemaggiore, Brugherio, Settala)";"126.7958";"69.15";"-0.57";"0";"0";"0";"1053.6";"183.3645";"1601.63";"2783.07";"192.1773";"-12.2241";"0"
"country";"C";"Latvia";"14.357";"63.53";"-0.54";"9.32";"154.05";"0";"121.3";"22.6";"51";"150";"0";"0";"100"
"company";"C";"AS Conexus Baltic Grid";"14.357";"63.53";"-0.54";"0";"0";"0";"121.3";"22.6";"51";"150";"0";"0";"0"
"facility";"C";"UGS Incukalns";"14.357";"63.53";"-0.54";"0";"0";"0";"121.3";"22.6";"51";"150";"0";"0";"0"
"country";"E";"Netherlands";"96.7731";"67.9";"-0.25";"312.19";"31";"116.22";"473.5";"142.5291";"1458.35";"2799.2";"0";"0";"100"
"company";"C";"EnergyStock";"2.2198";"62.21";"2.52";"0";"0";"113.62";"23.8";"3.5679";"309.51";"431.43";"3.5679";"0";"0"
"facility";"C";"UGS EnergyStock";"2.2198";"62.21";"2.52";"0";"0";"113.62";"23.8";"3.5679";"309.51";"431.43";"3.5679";"0";"0"
"company";"C";"EWE Gasspeicher (NL) *****";"1.8251";"69.63";"0.15";"0";"0";"2.6";"0";"2.6211";"65.28";"97.2";"2.6211";"0";"0"
"facility";"C";"UGS Nüttermoor H-1";"1.1214";"74.71";"0.08";"0";"0";"0";"0";"1.5011";"48.72";"69.6";"1.5011";"0";"0"
"facility";"C";"UGS Nüttermoor H-4";"0.7037";"62.83";"0.23";"0";"0";"2.6";"0";"1.12";"16.56";"27.6";"1.12";"0";"0"
"company";"E";"NAM *";"54.1155";"65.05";"-0.39";"0";"0";"0";"320.7";"83.1885";"602.81";"1421.65";"0";"0";"0"
"facility";"E";"UGS Grijpskerk L-gas";"15.1047";"63.33";"-0.37";"0";"0";"0";"89";"23.85";"154.06";"620.2";"0";"0";"0"
"facility";"E";"UGS Norg (Langelo) L-gas";"39.0107";"65.74";"-0.39";"0";"0";"0";"231.7";"59.3385";"448.75";"801.45";"0";"0";"0"
"company";"C";"TAQA Gas Storage";"33.6774";"69.94";"-0.28";"0";"0";"0";"129";"48.1515";"440.76";"488.92";"48.1515";"0";"0"
"facility";"C";"UGS Bergermeer";"33.6774";"69.94";"-0.28";"0";"0";"0";"129";"48.1515";"440.76";"488.92";"48.1515";"0";"0"
"company";"C";"TAQA Piek Gas";"4.9354";"98.71";"0";"0";"0";"0";"0";"5";"40";"360";"5";"0";"0"
"facility";"C";"UGS Alkmaar";"4.9354";"98.71";"0";"0";"0";"0";"0";"5";"40";"360";"5";"0";"0"
"country";"C";"Poland";"30.1628";"80.41";"-0.88";"206.2";"14.63";"0";"330.6";"37.5109";"359.01";"595.31";"0";"0";"100"
"company";"C";"GSP";"30.1628";"80.41";"-0.88";"0";"0";"0";"330.6";"37.5109";"359.01";"595.31";"0";"0";"0"
"facility";"N";"GSP historical data prior to 4 Feb 2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Wierzchowice";"14.1028";"95.75";"-1.08";"0";"0";"0";"158.4";"14.729";"107.52";"158.4";"0";"0";"0"
"facility";"C";"VGS GIM Kawerna (Kosakowo, Mogilno)";"6.9131";"70.68";"-0.6";"0";"0";"0";"58.4";"9.7807";"133.7";"307.56";"0";"0";"0"
"facility";"C";"VGS GIM Sanok (Brzeznica, Husow, Strachocina, Swarzow)";"9.147";"70.35";"-0.87";"0";"0";"0";"113.7";"13.0012";"117.79";"129.35";"0";"0";"0"
"country";"C";"Portugal";"3.5626";"99.79";"0.69";"64.48";"5.53";"24.67";"0";"3.57";"24";"85.68";"0";"0";"100"
"company";"C";"REN Armazenagem";"3.5626";"99.79";"0.69";"0";"0";"24.67";"0";"3.57";"24";"85.68";"0";"0";"0"
"facility";"C";"UGS Carriço";"3.5626";"99.79";"0.69";"0";"0";"24.67";"0";"3.57";"24";"85.68";"0";"0";"0"
"country";"C";"Romania";"22.7334";"67.13";"-0.6";"112.35";"20.23";"5";"208.9";"33.8636";"240.75";"341.44";"0";"0";"100"
"company";"C";"Depomures";"1.885";"59.76";"-0.65";"0";"0";"0";"20.4";"3.1546";"0";"29";"0";"0";"0"
"facility";"C";"UGS Târgu Mureş";"1.885";"59.76";"-0.65";"0";"0";"0";"20.4";"3.1546";"0";"29";"0";"0";"0"
"company";"C";"Depogaz Ploiești";"20.8483";"67.89";"-0.6";"0";"0";"5";"188.5";"30.709";"240.75";"312.44";"0";"0";"0"
"facility";"C";"UGS Bălăceanca ";"0.4196";"78.43";"0";"0";"0";"0";"0";"0.535";"10.7";"12.84";"0";"0";"0"
"facility";"C";"UGS Bilciuresti";"8.5816";"61.22";"-0.73";"0";"0";"0";"102.6";"14.017";"107";"149.8";"0";"0";"0"
"facility";"N";"UGS Cetatea de Baltă ";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"C";"UGS Ghercesti";"2.7535";"102.93";"0.07";"0";"0";"5";"3.1";"2.675";"21.4";"21.4";"0";"0";"0"
"facility";"C";"UGS Sărmășel ";"7.0811";"73.53";"-0.52";"0";"0";"0";"50.4";"9.63";"69.55";"80.25";"0";"0";"0"
"facility";"C";"UGS Urziceni";"2.0126";"52.25";"-0.84";"0";"0";"0";"32.4";"3.852";"32.1";"48.15";"0";"0";"0"
"country";"C";"Slovakia";"27.1717";"73.7";"-0.06";"59.16";"45.93";"103.89";"127.5";"36.869";"410.96";"491.56";"0";"0";"100"
